group,dh,true_h0,error_pct,t_w0,t_U
20260320_145337,131.17557506664775,108.32353821406831,21.096095298714662,865.0,2865.0
20260320_145339,131.24454036297544,120.65397271927148,8.777636910759078,1415.0,3295.0
20260320_145340,159.35434755785957,140.2225193228394,13.643905648972316,1330.0,3120.0
20260320_145341,127.37791245401904,111.02163917561265,14.73250926563446,985.0,2910.0
20260320_145343,142.0557120041739,133.82591013778824,6.149632651787824,1450.0,3210.0
20260320_145344,177.91016330467204,144.3733932389045,23.229190166828012,1045.0,3320.0
20260320_145346,114.34557598255108,105.63711378623711,8.243752488293136,1130.0,3160.0
20260320_145347,151.64669516181354,137.10105820966047,10.609427193413271,1330.0,3045.0
20260320_145348,166.3301922716311,138.57812508681684,20.026297200534394,1190.0,3155.0
20260320_145350,132.61520956842645,114.26574807264805,16.058584313570634,960.0,3465.0
20260320_145351,129.7928582467735,116.84967081056944,11.076785536851778,1175.0,3015.0
20260320_145352,164.34768593523268,146.0566322922507,12.523261255526322,1310.0,3090.0
20260320_145354,101.48044731465568,97.15087465153036,4.456545222732195,1260.0,3130.0
20260320_145355,151.69357799829257,136.21004684190444,11.367392872538593,1260.0,3025.0
20260320_145357,103.12548438361132,93.80450907401388,9.936596227205861,1070.0,3130.0
20260320_145358,103.42733072655972,96.63681326916166,7.0268433195168445,1210.0,2995.0
20260320_145359,98.16230163222757,93.46837048994263,5.021946052638217,1390.0,3315.0
20260320_145401,134.04186104792788,127.52449998071378,5.1106736887419695,1370.0,3115.0
20260320_145402,155.21299629572863,137.68588290593942,12.729782472879164,1320.0,3085.0
20260320_145404,187.55196207182183,141.4513963797082,32.59109975016617,865.0,3285.0
20260320_145405,89.1335528038228,87.61786121469738,1.7298888241649542,1380.0,3180.0
20260320_145407,187.29377414913162,149.55948695565723,25.23028659804255,1020.0,3010.0
20260320_145408,122.39651729278573,108.84818127514491,12.447002659046298,985.0,2915.0
20260320_145409,108.03627229175265,95.95177048020682,12.594350006328082,865.0,3290.0
20260320_145410,99.0202879451715,92.51491747788985,7.031698935294808,1105.0,3160.0
20260320_145412,133.8593976087677,120.91980219294024,10.700973026056536,1070.0,3075.0
20260320_145413,95.48773381472519,92.04582086338355,3.7393473370726937,1235.0,3155.0
20260320_145414,171.27162982904457,142.90416315342026,19.85069297468215,1010.0,3285.0
20260320_145416,88.03916598548004,82.1668467699177,7.146823136594152,995.0,3095.0
