eval_id,w_c_threshold,zeta_target,V_ratio,f_s,V_target,MAE_pct,CI_width,w_MAE,w_CI,loss,is_penalty
63,0.1,-35.0,1.0,8.2,0.5,8.444845660152039,3.0955733184270895,0.7,0.3,6.840063957634554,0
64,9999.0,-40.0,1.0,10.0,0.5,6.308668088673633,3.2334734737212294,0.7,0.3,5.386109704187911,0
65,0.15,-45.0,1.0,0.2,0.5,7.906616842503825,3.104006294207849,0.7,0.3,6.465833678015032,0
66,0.1,-45.0,0.4,0.2,0.2,6.013626314519955,3.691898063854269,0.7,0.3,5.317107839320249,0
67,0.1,-40.0,1.0,0.2,0.5,9.545668596125848,3.212409599347116,0.7,0.3,7.645690897092228,0
68,0.1,-45.0,0.4,0.2,0.2,6.013626314519955,3.691898063854269,0.7,0.3,5.317107839320249,0
69,0.1,-40.0,0.2,0.2,0.1,6.224005653329371,5.164018362313293,0.7,0.3,5.906009466024547,0
70,0.1,-45.0,0.4,0.2,0.2,6.013626314519955,3.691898063854269,0.7,0.3,5.317107839320249,0
71,0.1,-40.0,0.8,0.2,0.4,7.76332719661072,2.866513115596957,0.7,0.3,6.294282972306591,0
72,0.1,-45.0,0.6,6.2,0.3,6.917055559390593,2.8177125466364736,0.7,0.3,5.687252655564357,0
73,0.1,-40.0,0.4,0.2,0.2,5.952801185087469,3.9242649655286974,0.7,0.3,5.344240319219837,0
74,0.1,-45.0,0.4,2.2,0.2,6.071511922643766,3.672582828636117,0.7,0.3,5.351833194441471,0
75,0.2,-40.0,0.4,0.2,0.2,6.306059733148456,3.3536174018032168,0.7,0.3,5.420327033744884,0
76,0.05,-45.0,0.2,4.2,0.1,6.402185516994191,5.498066168737428,0.7,0.3,6.130949712517162,0
77,0.1,-35.0,0.4,0.2,0.2,5.967975419973517,4.182840845558417,0.7,0.3,5.432435047648987,0
78,9999.0,-40.0,0.8,0.2,0.4,6.308668088673633,3.2334734737212294,0.7,0.3,5.386109704187911,0
79,0.1,-45.0,0.6,10.0,0.3,6.916633473326152,2.81727913407445,0.7,0.3,5.68682717155064,0
80,0.15,-45.0,0.4,6.2,0.2,6.191285649689913,3.5015849014685188,0.7,0.3,5.384375425223494,0
81,0.1,-40.0,0.4,8.2,0.2,5.981456298136509,3.9259099363107297,0.7,0.3,5.364792389588775,0
82,0.2,-35.0,0.4,0.2,0.2,6.315982625258875,3.3997350309463146,0.7,0.3,5.441108346965106,0
83,0.1,-40.0,1.0,4.2,0.5,9.568263622281139,3.2400916380171254,0.7,0.3,7.669812027001934,0
84,0.05,-20.0,0.2,2.2,0.08865999999999999,7.200169015844404,6.194982667202302,0.7,0.3,6.898613111251773,0
85,0.1,-45.0,0.4,0.2,0.2,6.013626314519955,3.691898063854269,0.7,0.3,5.317107839320249,0
86,9999.0,-35.0,0.8,0.2,0.4,6.308668088673633,3.2334734737212294,0.7,0.3,5.386109704187911,0
87,0.1,-40.0,0.6,10.0,0.3,6.6003186230679445,2.9266188515204683,0.7,0.3,5.498208691603701,0
88,0.15,-30.0,0.4,8.2,0.2,6.115646670631198,4.085755169282034,0.7,0.3,5.506679220226449,0
89,0.1,-25.0,0.4,6.2,0.2,6.125394769270612,4.760399359977886,0.7,0.3,5.715896146482794,0
90,0.2,-45.0,0.4,0.2,0.2,6.294399766408785,3.2937963051695642,0.7,0.3,5.394218728037018,0
91,0.05,-40.0,0.2,2.2,0.1,6.5107617759073415,5.642167843284543,0.7,0.3,6.250183596120502,0
92,0.1,-45.0,0.4,0.2,0.2,6.013626314519955,3.691898063854269,0.7,0.3,5.317107839320249,0
93,9999.0,-35.0,0.8,4.2,0.4,6.308668088673633,3.2334734737212294,0.7,0.3,5.386109704187911,0
94,0.1,-45.0,1.0,0.2,0.5,10.691884111400261,3.3005128030697684,0.7,0.3,8.474472718901113,0
95,0.15,-40.0,0.4,0.2,0.2,6.138725966233843,3.6837477229366478,0.7,0.3,5.402232493244684,0
96,0.1,-40.0,0.6,10.0,0.3,6.6003186230679445,2.9266188515204683,0.7,0.3,5.498208691603701,0
97,0.1,-45.0,0.4,8.2,0.2,6.069962138848731,3.6484708086360103,0.7,0.3,5.343514739784914,0
98,0.2,-30.0,0.4,6.2,0.2,6.323060658210823,3.4556691915960633,0.7,0.3,5.462843218226395,0
99,0.05,-35.0,0.2,0.2,0.1,6.559172848983057,5.73458022465987,0.7,0.3,6.311795061686101,0
100,0.1,-45.0,0.4,2.2,0.2,6.071511922643766,3.672582828636117,0.7,0.3,5.351833194441471,0
