wave_id,trajectory_file,C_p_true,theta_true,C_p_calc,theta_calc,C_p_error,theta_error,t1_ref,t2_ref,t3_ref,t1_obs,t2_obs,t3_obs,node1_X0,node1_Y0,node1_T0,node1_t_w0,node1_t_peak,node1_t_U,node1_dh,node1_error_pct,node1_x_enc,node1_y_enc,node1_z_enc,node2_X0,node2_Y0,node2_T0,node2_t_w0,node2_t_peak,node2_t_U,node2_dh,node2_error_pct,node2_x_enc,node2_y_enc,node2_z_enc,node3_X0,node3_Y0,node3_T0,node3_t_w0,node3_t_peak,node3_t_U,node3_dh,node3_error_pct,node3_x_enc,node3_y_enc,node3_z_enc
run_20260325_143548,Analysis_C_Data/Trajectories/traj_run_20260325_143548_L6800_H2000_Thneg15.npz,2.1426738870137876,-15.0,2.142673887013783,-14.999999999999973,4.440892098500626e-15,2.6645352591003757e-14,9182.345196602724,10372.452905238139,9627.547094761861,9415.8922907911,10605.999999426516,9861.09418895024,-269.8196392785571,0.0,7955.892290791101,9220.8922907911,9415.8922907911,9770.8922907911,,,51.38036072144291,0.0,332.9282061530085,-3081.6560452052645,-2766.509719177791,9145.999999426516,10410.999999426516,10605.999999426516,10960.999999426516,,,-2760.4560452052647,-2766.509719177791,332.9282061530084,-1321.6865385081232,3801.7858995878737,8401.09418895024,9666.09418895024,9861.09418895024,10216.09418895024,,,-1000.4865385081232,3801.7858995878737,332.9282061530085
run_20260325_143550,Analysis_C_Data/Trajectories/traj_run_20260325_143550_L6800_H2000_Thneg15.npz,2.35617162899386,-15.0,2.356171628993854,-14.999999999999977,5.773159728050814e-15,2.3092638912203256e-14,9250.107550740851,10341.586229521616,9658.413770478384,9544.48630825588,10635.964987036647,9952.792527993415,-288.3366733466934,0.0,7939.486308255881,9299.48630825588,9544.48630825588,9974.48630825588,,,64.76332665330665,0.0,337.73712265669974,-3100.1730792734006,-2766.509719177791,9030.964987036647,10390.964987036647,10635.964987036647,11065.964987036647,,,-2747.0730792734007,-2766.509719177791,337.7371226566997,-1340.2035725762594,3801.7858995878737,8347.792527993415,9707.792527993415,9952.792527993415,10382.792527993415,,,-987.1035725762594,3801.7858995878737,337.7371226566997
run_20260325_143551,Analysis_C_Data/Trajectories/traj_run_20260325_143551_L6800_H2000_Thneg15.npz,2.156812882770049,-15.0,2.1568128827700486,-15.000000000000027,4.440892098500626e-16,2.6645352591003757e-14,9187.209196574757,10370.237286968504,9629.762713031496,9464.21320459079,10647.241294984537,9906.766721047528,-219.55911823647293,0.0,8189.213204590789,9234.21320459079,9464.21320459079,9939.21320459079,,,60.940881763527074,0.0,270.90132161608386,-3031.39552416318,-2766.509719177791,9372.241294984537,10417.241294984537,10647.241294984537,11122.241294984537,,,-2750.89552416318,-2766.509719177791,270.90132161608386,-1271.426017466039,3801.7858995878737,8631.766721047528,9676.766721047528,9906.766721047528,10381.766721047528,,,-990.926017466039,3801.7858995878737,270.9013216160838
run_20260325_143552,Analysis_C_Data/Trajectories/traj_run_20260325_143552_L6800_H2000_Thneg15.npz,1.9118877531215064,-15.0,1.9118877531215068,-14.999999999999998,4.440892098500626e-16,1.7763568394002505e-15,9093.83050315406,10412.772554305497,9587.227445694503,9546.90665545867,10865.848706610106,10040.303597999113,-211.62324649298594,0.0,8131.90665545867,9171.90665545867,9546.90665545867,10261.90665545867,,,99.67675350701407,0.0,281.4294615582447,-3023.459652419693,-2766.509719177791,9450.848706610106,10490.848706610106,10865.848706610106,11580.848706610106,,,-2712.159652419693,-2766.509719177791,281.4294615582447,-1263.4901457225521,3801.7858995878737,8625.303597999113,9665.303597999113,10040.303597999113,10755.303597999113,,,-952.1901457225522,3801.7858995878737,281.4294615582447
run_20260325_143553,Analysis_C_Data/Trajectories/traj_run_20260325_143553_L6800_H2000_Thneg15.npz,2.23924810211165,-15.0,2.239248102111644,-14.999999999999936,6.217248937900877e-15,6.394884621840902e-14,9214.454348498088,10357.826748994119,9642.173251005881,9519.905250301694,10663.277650797727,9947.624152809489,-280.40080160320645,0.0,7939.905250301695,9264.905250301694,9519.905250301694,9959.905250301694,,,67.19919839679358,0.0,352.11417258798565,-3092.2372075299136,-2766.509719177791,9083.277650797727,10408.277650797727,10663.277650797727,11103.277650797727,,,-2744.6372075299137,-2766.509719177791,352.11417258798565,-1332.2677008327726,3801.7858995878737,8367.624152809489,9692.624152809489,9947.624152809489,10387.624152809489,,,-984.6677008327725,3801.7858995878737,352.1141725879857
run_20260325_143555,Analysis_C_Data/Trajectories/traj_run_20260325_143555_L6800_H2000_Thneg15.npz,2.37394029979395,-15.0,2.3739402997939476,-14.999999999999961,2.220446049250313e-15,3.907985046680551e-14,9255.244365981902,10339.246340179252,9660.753659820748,9508.671219689317,10592.673193886667,9914.180513528163,-283.0460921843687,0.0,7968.671219689317,9298.671219689317,9508.671219689317,9898.671219689317,,,55.753907815631294,0.0,328.4870440447878,-3094.882498111076,-2766.509719177791,9052.673193886667,10382.673193886667,10592.673193886667,10982.673193886667,,,-2756.082498111076,-2766.509719177791,328.4870440447878,-1334.9129914139348,3801.7858995878737,8374.180513528163,9704.180513528163,9914.180513528163,10304.180513528163,,,-996.1129914139349,3801.7858995878737,328.4870440447878
run_20260325_143556,Analysis_C_Data/Trajectories/traj_run_20260325_143556_L6800_H2000_Thneg15.npz,2.0180607041413086,-15.0,2.0180607041413077,-14.999999999999986,8.881784197001252e-16,1.4210854715202004e-14,9136.818921397691,10393.190743986634,9606.809256013366,9472.159602760417,10728.53142534936,9942.149937376093,-182.5250501002004,0.0,8307.159602760417,9192.159602760417,9472.159602760417,9957.159602760417,,,73.77494989979962,0.0,274.89076379718654,-2994.361456026908,-2766.509719177791,9563.53142534936,10448.53142534936,10728.53142534936,11213.53142534936,,,-2738.0614560269078,-2766.509719177791,274.8907637971864,-1234.3919493297665,3801.7858995878737,8777.149937376093,9662.149937376093,9942.149937376093,10427.149937376093,,,-978.0919493297665,3801.7858995878737,274.8907637971864
run_20260325_143557,Analysis_C_Data/Trajectories/traj_run_20260325_143557_L6800_H2000_Thneg15.npz,1.772655603444619,-15.0,1.7726556034446166,-14.999999999999982,2.4424906541753444e-15,1.7763568394002505e-14,9030.514028997974,10441.614071105603,9558.385928894397,9514.301604148273,10925.401646255905,10042.173504044698,-243.36673346693385,0.0,7924.301604148274,9114.301604148273,9514.301604148273,10264.301604148273,,,106.43326653306616,0.0,293.98102789771167,-3055.2031393936413,-2766.509719177791,9335.401646255905,10525.401646255905,10925.401646255905,11675.401646255905,,,-2705.403139393641,-2766.509719177791,293.98102789771167,-1295.2336326965,3801.7858995878737,8452.173504044698,9642.173504044698,10042.173504044698,10792.173504044698,,,-945.4336326965001,3801.7858995878737,293.98102789771167
run_20260325_143558,Analysis_C_Data/Trajectories/traj_run_20260325_143558_L6800_H2000_Thneg15.npz,2.184692345169989,-15.0,2.1846923451699873,-14.999999999999993,1.7763568394002505e-15,7.105427357601002e-15,9196.632510408905,10365.944839104299,9634.055160895701,9555.780807002091,10725.093135697485,9993.203457488888,-203.68737474949899,0.0,8270.780807002091,9255.780807002091,9555.780807002091,10100.780807002091,,,79.012625250501,0.0,275.60978588317386,-3015.523780676206,-2766.509719177791,9440.093135697485,10425.093135697485,10725.093135697485,11270.093135697485,,,-2732.8237806762063,-2766.509719177791,275.60978588317374,-1255.554273979065,3801.7858995878737,8708.203457488888,9693.203457488888,9993.203457488888,10538.203457488888,,,-972.854273979065,3801.7858995878737,275.60978588317386
run_20260325_143559,Analysis_C_Data/Trajectories/traj_run_20260325_143559_L6800_H2000_Thneg15.npz,2.691284758610114,-15.0,2.6912847586101236,-15.000000000000027,9.769962616701378e-15,2.6645352591003757e-14,9336.426419001202,10302.266808750335,9697.733191249665,9628.420406977155,10594.260796726287,9989.727179225616,-330.66132264529057,0.0,7833.420406977154,9383.420406977155,9628.420406977155,10068.420406977155,,,64.23867735470941,0.0,350.18730906977953,-3142.497728571998,-2766.509719177791,8799.260796726287,10349.260796726287,10594.260796726287,11034.260796726287,,,-2747.597728571998,-2766.509719177791,350.1873090697795,-1382.5282218748566,3801.7858995878737,8194.727179225616,9744.727179225616,9989.727179225616,10429.727179225616,,,-987.6282218748566,3801.7858995878737,350.1873090697795
